time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),date
2016-06-29T00:00,22.5,0.0,0.0,100.0,95.0,15.0,28.0,9.4,137.0,2016-06-29
2016-06-30T00:00,26.9,0.0,0.0,17.0,2.0,25.0,0.0,8.9,317.0,2016-06-30
2016-07-01T00:00,26.4,0.0,0.0,43.0,0.0,72.0,0.0,10.7,166.0,2016-07-01
2016-07-02T00:00,23.9,0.8,0.8,81.0,12.0,93.0,48.0,7.9,177.0,2016-07-02
2016-07-03T00:00,24.2,0.0,0.0,12.0,0.0,0.0,41.0,8.7,253.0,2016-07-03
2016-07-04T00:00,25.0,0.0,0.0,30.0,0.0,0.0,100.0,11.9,241.0,2016-07-04
2016-07-05T00:00,23.8,0.0,0.0,100.0,51.0,100.0,99.0,14.8,194.0,2016-07-05
2016-07-06T00:00,29.8,0.0,0.0,1.0,0.0,2.0,0.0,6.1,270.0,2016-07-06
2016-07-07T00:00,30.3,0.0,0.0,12.0,2.0,7.0,21.0,10.1,174.0,2016-07-07
2016-07-08T00:00,28.7,0.0,0.0,71.0,12.0,51.0,99.0,2.0,225.0,2016-07-08
2016-07-09T00:00,22.4,1.6,1.6,100.0,67.0,85.0,60.0,14.4,127.0,2016-07-09
2016-07-10T00:00,21.2,1.3,1.3,100.0,99.0,28.0,0.0,11.3,127.0,2016-07-10
2016-07-11T00:00,25.1,0.0,0.0,7.0,0.0,11.0,0.0,14.5,314.0,2016-07-11
2016-07-12T00:00,25.5,0.0,0.0,32.0,1.0,10.0,82.0,6.5,84.0,2016-07-12
2016-07-13T00:00,25.0,0.0,0.0,20.0,10.0,9.0,20.0,13.5,164.0,2016-07-13
2016-07-14T00:00,25.1,0.0,0.0,59.0,1.0,63.0,68.0,7.2,174.0,2016-07-14
2016-07-15T00:00,28.7,0.0,0.0,7.0,0.0,2.0,19.0,4.7,203.0,2016-07-15
